Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),42.78,0.00,88.17,,,,,,43.08,,43.80,43.94,44.13,1.31
Active Decode Throughput Per User (tokens/sec/user),42.78,0.00,88.17,,,,,,43.08,,43.80,43.94,44.13,1.31
Active Prefill Throughput (tokens/sec),974.58,587.76,991.05,,,,,,982.72,,985.81,986.54,987.49,50.70
Active Prefill Throughput Per User (tokens/sec/user),974.58,587.76,991.05,,,,,,982.72,,985.81,986.54,987.49,50.70
Active Total Throughput (tokens/sec),183.85,39.52,991.05,,,,,,42.90,,981.49,983.78,986.03,334.56
Credit-to-Start Latency (ms),4.21,0.58,7.84,421.31,0.70,1.00,1.36,2.38,4.20,6.05,7.09,7.45,7.74,2.09
Decode Duration (ms),2944.89,2922.69,3188.10,294489.18,2923.40,2926.59,2929.33,2933.17,2937.73,2946.89,2960.82,2965.60,3069.62,30.30
E2E Output Token Throughput (tokens/sec/user),36.60,33.36,36.93,3660.02,34.06,36.34,36.45,36.61,36.71,36.76,36.81,36.83,36.87,0.46
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.85,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.36
Effective Decode Throughput (tokens/sec),36.29,0.00,88.17,,,,,,42.91,,43.76,43.92,44.11,15.40
Effective Decode Throughput Per User (tokens/sec/user),36.29,0.00,88.17,,,,,,42.91,,43.76,43.92,44.11,15.40
Effective Latency (CO-aware) (ms),3474.47,3441.73,3808.45,347447.07,3447.27,3453.07,3454.76,3458.13,3465.19,3473.09,3486.99,3499.46,3736.56,46.88
Effective Prefill Concurrency,0.15,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.36
Effective Prefill Throughput (tokens/sec),147.48,0.00,991.05,,,,,,0.00,,981.49,983.78,986.03,349.81
Effective Prefill Throughput Per User (tokens/sec/user),147.48,0.00,991.05,,,,,,0.00,,981.49,983.78,986.03,349.81
Effective Total Throughput (tokens/sec),183.77,0.00,991.05,,,,,,42.90,,981.49,983.78,986.03,334.52
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,129.37,128.00,130.00,12937.00,128.99,129.00,129.00,129.00,129.00,130.00,130.00,130.00,130.00,0.50
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.25,0.89,6.32,124.54,0.90,0.91,0.92,0.96,1.29,1.30,1.32,1.34,1.71,0.54
HTTP Connection Overhead (ms),1.26,0.89,7.44,125.90,0.90,0.91,0.92,0.96,1.29,1.31,1.32,1.34,1.72,0.65
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.59,41.24,41.68,4158.91,41.52,41.55,41.56,41.58,41.59,41.61,41.62,41.63,41.64,0.04
