Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),40.59,0.00,92.42,,,,,,40.28,,44.32,44.44,45.06,3.69
Active Decode Throughput Per User (tokens/sec/user),40.59,0.00,92.42,,,,,,40.28,,44.32,44.44,45.06,3.69
Active Prefill Throughput (tokens/sec),944.81,805.23,975.27,,,,,,947.26,,963.39,964.22,970.76,23.09
Active Prefill Throughput Per User (tokens/sec/user),944.81,805.23,975.27,,,,,,947.26,,963.39,964.22,970.76,23.09
Active Total Throughput (tokens/sec),174.54,33.50,975.27,,,,,,43.31,,932.67,960.77,963.64,321.35
Credit-to-Start Latency (ms),3.70,0.65,6.96,370.00,0.68,0.88,1.17,2.12,3.81,5.21,6.00,6.33,6.57,1.77
Decode Duration (ms),3115.86,1884.62,3791.03,311585.66,2868.54,2879.44,2880.43,2882.21,2982.84,3406.57,3426.87,3463.25,3539.22,278.50
E2E Output Token Throughput (tokens/sec/user),35.01,29.49,38.10,3500.74,30.90,31.82,32.10,32.32,35.23,37.48,37.52,37.52,37.54,2.47
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.85,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.36
Effective Decode Throughput (tokens/sec),34.56,0.00,92.42,,,,,,39.05,,44.29,44.41,44.93,14.83
Effective Decode Throughput Per User (tokens/sec/user),34.56,0.00,92.42,,,,,,39.05,,44.29,44.41,44.93,14.83
Effective Latency (CO-aware) (ms),3661.78,2456.96,4344.05,366177.53,3406.23,3416.98,3417.57,3419.91,3524.00,3961.04,3980.03,4013.72,4121.28,284.93
Effective Prefill Concurrency,0.15,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.36
Effective Prefill Throughput (tokens/sec),139.91,0.00,975.27,,,,,,0.00,,932.67,960.77,963.64,335.70
Effective Prefill Throughput Per User (tokens/sec/user),139.91,0.00,975.27,,,,,,0.00,,932.67,960.77,963.64,335.70
Effective Total Throughput (tokens/sec),174.47,0.00,975.27,,,,,,43.31,,932.67,960.77,963.64,321.31
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,130.97,79.00,132.00,13097.00,125.53,131.00,131.00,131.00,132.00,132.00,132.00,132.00,132.00,5.30
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.37,0.29,1.59,36.88,0.30,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.83,0.14
HTTP Connection Overhead (ms),0.38,0.29,2.68,38.39,0.30,0.32,0.33,0.34,0.35,0.36,0.37,0.38,1.25,0.25
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.42,24.55,41.75,4142.27,39.78,41.52,41.57,41.60,41.63,41.66,41.68,41.70,41.75,1.71
HTTP Data Sent (KB),2.34,1.99,2.59,233.82,2.09,2.13,2.23,2.28,2.34,2.39,2.47,2.50,2.54,0.10
HTTP DNS Lookup (ms),0.02,0.00,1.10,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.12
HTTP Duration (excl. conn) (ms),3658.04,2455.91,4340.61,365803.80,3400.87,3411.56,3411.98,3414.14,3519.37,3960.14,3977.70,4012.13,4116.27,286.10
HTTP Receiving (ms),3221.81,2020.04,3900.96,322180.61,2970.28,2980.33,2981.74,2983.32,3085.97,3518.64,3536.81,3574.06,3653.12,281.15
HTTP Sending (ms),0.46,0.38,1.73,45.99,0.38,0.41,0.42,0.43,0.44,0.45,0.45,0.48,1.04,0.15
HTTP Total Time (ms),3658.42,2456.26,4340.96,365842.19,3401.22,3411.91,3412.35,3414.47,3519.71,3960.47,3978.07,4012.46,4116.92,286.12
HTTP Waiting (TTFB) (ms),435.77,423.24,507.31,43577.20,425.54,429.22,429.79,430.55,434.56,439.22,441.25,446.89,458.11,9.28
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),24.66,22.38,59.94,311585.66,22.45,22.52,22.56,22.67,24.18,26.36,27.42,28.00,30.65,2.41
Inter Token Latency (ms),24.64,22.33,29.85,2464.07,22.66,22.67,22.68,22.70,24.31,26.75,27.02,27.27,27.87,1.97
OSL Mismatch Diff % (%),-0.41,-41.41,1.56,-41.41,-1.96,-0.78,0.00,0.00,0.00,0.00,0.00,0.00,1.56,4.13
Output Sequence Length (tokens),127.47,75.00,130.00,12747.00,125.49,127.00,128.00,128.00,128.00,128.00,128.00,128.00,130.00,5.29
Output Token Count (tokens),127.47,75.00,130.00,12747.00,125.49,127.00,128.00,128.00,128.00,128.00,128.00,128.00,130.00,5.29
Output Token Throughput Per User (tokens/sec/user),40.84,33.50,44.78,4083.81,35.89,36.67,37.00,37.39,41.17,44.05,44.09,44.11,44.13,3.20
Prefill Throughput Per User (tokens/sec/user),945.37,805.23,975.27,94537.27,899.38,911.79,926.99,931.25,947.68,961.89,963.40,964.23,970.80,22.29
