Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),90.64,0.00,168.48,,,,,,141.38,,146.92,147.98,149.13,65.16
Active Decode Throughput Per User (tokens/sec/user),12.90,0.00,77.22,,,,,,17.79,,18.52,19.05,35.40,8.59
Active Prefill Throughput (tokens/sec),898.75,122.57,1110.45,,,,,,1008.10,,1110.23,1110.45,1110.45,252.32
Active Prefill Throughput Per User (tokens/sec/user),229.97,122.57,690.34,,,,,,155.11,,517.14,548.01,690.34,150.50
Active Total Throughput (tokens/sec),444.59,0.00,1123.17,,,,,,128.24,,1098.38,1112.98,1123.17,419.60
Decode Duration (error-adjusted) (ms),,2966.23,,,4800.29,7665.96,7691.17,7730.94,7794.45,7855.19,9849.92,10113.09,,
Inter Token Latency (error-adjusted) (ms),,37.80,,,55.97,60.30,60.56,60.87,61.37,61.85,77.56,79.63,,
Request Latency (error-adjusted) (ms),,5541.96,,,7141.26,10900.02,10901.00,11032.29,11147.46,11387.80,11458.17,12001.23,,
Time to First Token (error-adjusted) (ms),,741.66,,,923.43,976.88,1241.17,3241.50,3321.72,3575.38,3745.95,4175.24,,
Credit-to-Start Latency (ms),1.17,0.24,4.96,117.23,0.27,0.35,0.45,0.55,1.07,1.44,2.05,2.36,4.47,0.80
Decode Duration (ms),7948.89,2966.23,10279.62,778991.41,4745.27,7664.81,7690.31,7728.34,7790.89,7848.85,9781.09,10053.62,10224.39,935.21
E2E Output Token Throughput (tokens/sec/user),11.51,7.56,23.10,1127.83,10.56,10.67,11.17,11.24,11.48,11.61,11.66,11.74,15.02,1.31
Effective Concurrency,7.74,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.26
Effective Decode Concurrency,5.54,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,3.27
Effective Decode Throughput (tokens/sec),87.95,0.00,168.48,,,,,,141.05,,146.88,147.94,149.13,66.00
Effective Decode Throughput Per User (tokens/sec/user),12.52,0.00,77.22,,,,,,17.77,,18.51,18.93,35.36,8.74
