Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),34.87,0.00,81.38,,,,,,34.76,,38.96,39.07,39.93,4.25
Active Decode Throughput Per User (tokens/sec/user),34.87,0.00,81.38,,,,,,34.76,,38.96,39.07,39.93,4.25
Active Prefill Throughput (tokens/sec),960.01,783.30,1014.50,,,,,,988.14,,1013.37,1014.04,1014.39,67.95
Active Prefill Throughput Per User (tokens/sec/user),960.01,783.30,1014.50,,,,,,988.14,,1013.37,1014.04,1014.39,67.95
Active Total Throughput (tokens/sec),381.84,28.02,1014.50,,,,,,38.69,,1011.90,1013.31,1014.31,449.83
Credit-to-Start Latency (ms),0.12,0.00,3.04,12.07,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.93,1.69,0.41
Decode Duration (ms),3553.19,105.75,4533.16,355319.30,1637.45,3265.14,3278.13,3282.77,3422.19,3916.03,4085.96,4414.57,4502.89,579.83
E2E Output Token Throughput (tokens/sec/user),21.97,2.25,24.60,2196.93,17.53,19.32,19.61,20.34,22.56,24.10,24.15,24.18,24.27,2.76
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.62,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.48
Effective Decode Throughput (tokens/sec),21.78,0.00,81.38,,,,,,31.86,,38.87,39.00,39.73,17.21
Effective Decode Throughput Per User (tokens/sec/user),21.78,0.00,81.38,,,,,,31.86,,38.87,39.00,39.73,17.21
Effective Latency (CO-aware) (ms),5684.86,2253.86,7063.51,568486.24,3692.42,5287.48,5298.74,5308.44,5496.44,6206.82,6446.59,6536.93,6623.17,656.47
Effective Prefill Concurrency,0.37,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.48
Effective Prefill Throughput (tokens/sec),359.92,0.00,1014.50,,,,,,0.00,,1011.90,1013.31,1014.31,466.60
Effective Prefill Throughput Per User (tokens/sec/user),359.92,0.00,1014.50,,,,,,0.00,,1011.90,1013.31,1014.31,466.60
Effective Total Throughput (tokens/sec),381.70,0.00,1014.50,,,,,,38.69,,1011.90,1013.31,1014.31,449.81
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,129.26,11.00,133.00,12926.00,69.41,124.20,129.00,132.00,133.00,133.00,133.00,133.00,133.00,14.97
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.61,0.29,8.45,61.44,0.30,0.31,0.32,0.34,0.35,0.39,1.07,1.48,4.37,0.99
HTTP Connection Overhead (ms),0.70,0.29,15.75,69.75,0.30,0.31,0.32,0.34,0.35,0.39,1.07,1.73,4.44,1.64
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),40.56,2.01,41.80,4055.55,21.17,39.05,40.60,41.60,41.64,41.67,41.70,41.72,41.76,4.86
HTTP Data Sent (KB),8.83,8.02,9.44,882.78,8.16,8.35,8.56,8.65,8.82,9.00,9.20,9.28,9.44,0.27
HTTP DNS Lookup (ms),0.08,0.00,7.31,8.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.07,0.73
HTTP Duration (excl. conn) (ms),5688.05,2251.77,7068.16,568805.02,3691.66,5291.47,5299.33,5308.66,5498.89,6213.18,6454.16,6540.08,6627.14,658.01
HTTP Receiving (ms),3766.01,344.92,4785.53,376601.11,1863.66,3460.37,3473.21,3477.78,3624.19,4146.39,4292.36,4640.31,4700.69,585.50
HTTP Sending (ms),0.78,0.38,8.55,78.04,0.39,0.40,0.41,0.43,0.44,0.49,1.37,1.62,7.40,1.21
HTTP Total Time (ms),5688.75,2256.10,7068.56,568874.76,3692.05,5291.76,5299.70,5309.01,5499.35,6213.53,6454.55,6540.53,6642.74,658.11
