Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),37.30,0.00,82.49,,,,,,37.36,,39.01,39.66,40.86,1.73
Active Decode Throughput Per User (tokens/sec/user),37.30,0.00,82.49,,,,,,37.36,,39.01,39.66,40.86,1.73
Active Prefill Throughput (tokens/sec),934.87,894.77,953.64,,,,,,935.19,,939.99,946.52,948.92,7.68
Active Prefill Throughput Per User (tokens/sec/user),934.87,894.77,953.64,,,,,,935.19,,939.99,946.52,948.92,7.68
Active Total Throughput (tokens/sec),162.11,32.49,953.64,,,,,,37.21,,933.60,935.83,945.67,310.58
Credit-to-Start Latency (ms),0.18,0.00,0.82,17.58,0.00,0.00,0.00,0.00,0.11,0.32,0.46,0.54,0.67,0.20
Decode Duration (ms),3390.47,1982.49,3908.94,339046.67,3219.19,3261.05,3302.89,3410.72,3414.78,3420.10,3429.27,3437.09,3587.64,159.74
E2E Output Token Throughput (tokens/sec/user),32.37,28.56,34.39,3237.03,29.61,31.88,32.12,32.26,32.30,32.34,33.25,33.60,33.94,0.68
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.86,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.35
Effective Decode Throughput (tokens/sec),32.10,0.00,82.49,,,,,,37.10,,38.89,39.50,40.81,13.02
Effective Decode Throughput Per User (tokens/sec/user),32.10,0.00,82.49,,,,,,37.10,,38.89,39.50,40.81,13.02
Effective Latency (CO-aware) (ms),3938.56,2563.85,4480.84,393856.18,3760.13,3804.82,3844.65,3958.25,3962.76,3966.90,3977.69,3985.14,4151.50,158.35
Effective Prefill Concurrency,0.14,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.35
Effective Prefill Throughput (tokens/sec),129.96,0.00,953.64,,,,,,0.00,,933.60,935.83,945.67,323.44
Effective Prefill Throughput Per User (tokens/sec/user),129.96,0.00,953.64,,,,,,0.00,,933.60,935.83,945.67,323.44
Effective Total Throughput (tokens/sec),162.06,0.00,953.64,,,,,,37.21,,933.60,935.83,945.67,310.54
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,130.78,79.00,132.00,13078.00,125.53,131.00,131.00,131.00,131.00,132.00,132.00,132.00,132.00,5.27
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.36,0.30,1.48,36.19,0.31,0.33,0.33,0.34,0.35,0.36,0.37,0.38,0.65,0.12
HTTP Connection Overhead (ms),0.37,0.30,2.47,37.49,0.31,0.33,0.33,0.34,0.35,0.36,0.37,0.38,0.97,0.22
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.42,24.55,41.75,4142.27,39.78,41.52,41.57,41.60,41.63,41.66,41.68,41.70,41.75,1.71
HTTP Data Sent (KB),2.34,1.99,2.59,233.82,2.09,2.13,2.23,2.28,2.34,2.39,2.47,2.50,2.54,0.10
HTTP DNS Lookup (ms),0.01,0.00,0.99,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.10
HTTP Duration (excl. conn) (ms),3938.42,2563.29,4481.15,393842.31,3759.66,3804.49,3844.25,3958.14,3962.68,3966.99,3977.97,3985.26,4150.89,158.43
HTTP Receiving (ms),3501.09,2124.78,4031.95,350109.12,3327.61,3370.22,3410.17,3520.83,3525.05,3530.42,3539.89,3547.88,3702.18,157.61
HTTP Sending (ms),0.45,0.38,1.62,45.09,0.40,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.74,0.12
HTTP Total Time (ms),3938.80,2563.63,4481.54,393879.80,3759.99,3804.81,3844.58,3958.49,3963.04,3967.33,3978.28,3985.60,4151.25,158.44
HTTP Waiting (TTFB) (ms),436.88,431.58,448.72,43688.11,431.62,432.26,434.84,436.04,436.88,437.68,438.45,439.13,448.23,2.60
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),26.83,23.98,55.05,339046.67,24.49,25.27,25.66,26.12,26.75,27.36,27.98,28.42,30.83,1.34
Inter Token Latency (ms),26.81,25.10,30.78,2680.88,25.44,25.70,26.07,26.85,26.89,26.93,27.03,27.14,28.25,0.60
OSL Mismatch Diff % (%),-0.41,-41.41,1.56,-41.41,-1.96,-0.78,0.00,0.00,0.00,0.00,0.00,0.00,1.56,4.13
Output Sequence Length (tokens),127.47,75.00,130.00,12747.00,125.49,127.00,128.00,128.00,128.00,128.00,128.00,128.00,130.00,5.29
Output Token Count (tokens),127.47,75.00,130.00,12747.00,125.49,127.00,128.00,128.00,128.00,128.00,128.00,128.00,130.00,5.29
Output Token Throughput Per User (tokens/sec/user),37.32,32.49,39.84,3731.88,35.40,36.84,36.99,37.13,37.19,37.25,38.36,38.91,39.30,0.80
Prefill Throughput Per User (tokens/sec/user),934.93,894.77,953.64,93493.16,898.65,930.26,931.45,933.47,935.19,937.03,940.35,946.56,948.96,7.60
Request Latency (ms),3938.14,2531.84,4481.15,393813.73,3759.36,3804.50,3844.27,3958.16,3962.72,3967.03,3978.01,3985.30,4150.91,161.16
Time to First Output Token (ms),547.67,536.89,572.21,54767.06,539.54,540.90,544.48,546.41,547.48,548.49,549.68,550.38,569.74,4.55
Time to First Token (ms),547.67,536.89,572.21,54767.06,539.54,540.90,544.48,546.41,547.48,548.49,549.68,550.38,569.74,4.55
Time to Second Token (ms),26.63,25.24,29.10,2663.37,25.27,25.41,25.74,26.05,26.56,27.08,27.83,27.96,28.65,0.80
Tokens In Flight (tokens),566.95,0.00,642.00,,,,,,566.00,,625.00,632.00,638.00,41.93

Metric,Value
Benchmark Duration (sec),393.98
Input Token Throughput (tokens/sec),129.96
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),32.35
Request Count,100.00
Request Throughput (requests/sec),0.25
Total Input Sequence Length (tokens),51200.00
Total Output Sequence Length (tokens),12747.00
Total Output Tokens (tokens),12747.00
Total Token Throughput (tokens/sec),162.31


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
