Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),57.05,0.00,104.95,,,,,,80.30,,81.96,82.40,83.28,32.28
Active Decode Throughput Per User (tokens/sec/user),15.43,0.00,66.77,,,,,,20.12,,20.56,20.74,21.07,7.44
Active Prefill Throughput (tokens/sec),605.89,197.74,1120.97,,,,,,529.73,,856.66,865.50,1120.97,206.74
Active Prefill Throughput Per User (tokens/sec/user),341.17,197.74,556.27,,,,,,289.14,,497.12,529.73,556.27,94.41
Active Total Throughput (tokens/sec),285.37,18.12,1120.97,,,,,,70.28,,840.42,871.99,1049.24,301.31
Credit-to-Start Latency (ms),59.90,0.51,73.35,5989.68,0.54,0.61,0.76,69.84,70.91,72.00,72.37,72.51,73.27,25.80
Decode Duration (ms),7298.71,5404.21,8603.16,729871.39,6459.69,6874.34,6907.36,6982.49,7360.08,7565.51,7863.12,7913.75,8017.35,434.79
E2E Output Token Throughput (tokens/sec/user),14.31,13.17,15.69,1431.13,13.18,13.56,13.96,14.23,14.36,14.42,14.53,14.70,15.27,0.36
Effective Concurrency,3.99,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.11
Effective Decode Concurrency,3.26,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.09
Effective Decode Throughput (tokens/sec),56.64,0.00,104.95,,,,,,80.28,,81.95,82.39,83.28,32.53
Effective Decode Throughput Per User (tokens/sec/user),15.31,0.00,66.77,,,,,,20.12,,20.56,20.74,21.07,7.52
Effective Latency (CO-aware) (ms),8996.17,7340.46,9783.06,899616.60,8220.45,8709.96,8877.89,8949.52,8986.44,9042.94,9239.09,9437.13,9714.37,272.33
Effective Prefill Concurrency,0.73,0.00,4.00,,,,,,0.00,,3.00,3.00,3.00,1.09
Effective Prefill Throughput (tokens/sec),228.73,0.00,1120.97,,,,,,0.00,,825.65,855.83,1033.22,320.00
Effective Prefill Throughput Per User (tokens/sec/user),128.79,0.00,556.27,,,,,,0.00,,405.01,483.93,531.79,175.26
Effective Total Throughput (tokens/sec),285.37,0.00,1120.97,,,,,,70.28,,840.42,871.99,1049.24,301.31
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,131.35,114.00,132.00,13135.00,126.87,131.00,131.00,131.00,132.00,132.00,132.00,132.00,132.00,1.90
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.49,0.34,2.32,48.97,0.34,0.35,0.36,0.38,0.40,0.43,0.57,0.70,2.24,0.36
HTTP Connection Overhead (ms),0.55,0.34,3.92,54.78,0.34,0.35,0.36,0.38,0.40,0.43,0.57,0.70,3.72,0.64
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.54,35.82,41.75,4153.93,40.23,41.52,41.57,41.60,41.63,41.66,41.68,41.70,41.75,0.61
HTTP Data Sent (KB),2.34,1.99,2.59,233.82,2.09,2.13,2.23,2.28,2.34,2.39,2.47,2.50,2.54,0.10
HTTP DNS Lookup (ms),0.06,0.00,1.60,5.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.48,0.29
HTTP Duration (excl. conn) (ms),8936.22,7339.64,9709.64,893621.82,8149.51,8709.27,8808.04,8879.01,8915.22,8993.18,9166.64,9436.31,9642.97,272.97
HTTP Receiving (ms),7730.74,5713.10,8872.53,773073.89,7038.49,7119.39,7158.49,7557.03,7791.59,8083.44,8138.55,8187.19,8420.53,426.92
HTTP Sending (ms),0.61,0.43,2.58,60.78,0.43,0.44,0.45,0.48,0.51,0.54,0.73,0.93,2.47,0.39
HTTP Total Time (ms),8936.77,7340.08,9710.17,893676.60,8149.91,8709.81,8808.45,8879.41,8915.59,8993.81,9167.04,9436.76,9643.36,272.95
HTTP Waiting (TTFB) (ms),1204.87,649.03,2341.93,120487.14,681.58,694.52,753.19,886.41,1147.11,1395.29,1764.54,1819.39,1892.50,386.59
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),57.60,25.28,663.28,729871.39,47.60,48.10,48.52,48.99,49.41,49.81,56.87,79.20,421.44,50.95
