Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),41.77,0.00,88.49,,,,,,43.09,,44.10,44.19,44.27,2.87
Active Decode Throughput Per User (tokens/sec/user),41.77,0.00,88.49,,,,,,43.09,,44.10,44.19,44.27,2.87
Active Prefill Throughput (tokens/sec),823.70,545.20,963.36,,,,,,931.83,,963.36,963.36,963.36,183.85
Active Prefill Throughput Per User (tokens/sec/user),823.70,545.20,963.36,,,,,,931.83,,963.36,963.36,963.36,183.85
Active Total Throughput (tokens/sec),174.68,37.91,963.36,,,,,,42.37,,922.84,960.47,963.36,303.33
Credit-to-Start Latency (ms),0.47,0.34,0.73,2.35,0.34,0.34,0.35,0.37,0.37,0.54,0.65,0.69,0.72,0.15
Decode Duration (ms),3035.45,2904.42,3323.49,15177.25,2904.60,2905.31,2906.19,2908.85,2997.62,3042.87,3211.24,3267.37,3312.27,153.40
E2E Output Token Throughput (tokens/sec/user),35.07,32.51,37.24,175.33,32.52,32.56,32.61,32.75,35.63,37.21,37.22,37.23,37.24,2.07
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.83,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.38
Effective Decode Throughput (tokens/sec),34.66,0.00,88.49,,,,,,42.49,,44.06,44.18,44.26,15.92
Effective Decode Throughput Per User (tokens/sec/user),34.66,0.00,88.49,,,,,,42.49,,44.06,44.18,44.26,15.92
Effective Latency (CO-aware) (ms),3657.54,3437.93,3937.51,18287.70,3438.04,3438.48,3439.03,3440.69,3592.89,3878.69,3913.98,3925.74,3935.16,212.94
Effective Prefill Concurrency,0.17,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.38
Effective Prefill Throughput (tokens/sec),139.94,0.00,963.36,,,,,,0.00,,922.84,960.47,963.36,318.48
Effective Prefill Throughput Per User (tokens/sec/user),139.94,0.00,963.36,,,,,,0.00,,922.84,960.47,963.36,318.48
Effective Total Throughput (tokens/sec),174.60,0.00,963.36,,,,,,42.37,,922.84,960.47,963.36,303.28
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,131.80,131.00,132.00,659.00,131.04,131.20,131.40,132.00,132.00,132.00,132.00,132.00,132.00,0.40
HTTP Chunks Sent,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.61,0.34,1.61,3.04,0.34,0.34,0.35,0.35,0.37,0.37,1.11,1.36,1.56,0.50
HTTP Connection Overhead (ms),0.82,0.34,2.65,4.09,0.34,0.34,0.35,0.35,0.37,0.37,1.74,2.20,2.56,0.92
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.60,41.55,41.66,207.99,41.55,41.55,41.56,41.58,41.59,41.62,41.65,41.66,41.66,0.04
HTTP Data Sent (KB),2.26,1.99,2.44,11.29,2.00,2.04,2.08,2.21,2.23,2.42,2.43,2.43,2.44,0.16
HTTP DNS Lookup (ms),0.21,0.00,1.05,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.84,1.00,0.42
HTTP Duration (excl. conn) (ms),3657.03,3437.52,3936.71,18285.13,3437.63,3438.07,3438.63,3440.29,3592.31,3878.31,3913.35,3925.03,3934.37,212.85
HTTP Receiving (ms),3141.37,3006.78,3437.08,15706.84,3006.97,3007.75,3008.72,3011.63,3103.25,3148.10,3321.49,3379.29,3425.52,157.41
HTTP Sending (ms),0.71,0.43,1.76,3.57,0.43,0.43,0.43,0.44,0.46,0.48,1.25,1.51,1.71,0.52
HTTP Total Time (ms),3657.84,3437.86,3939.36,18289.22,3437.97,3438.42,3438.97,3440.64,3592.68,3878.68,3915.09,3927.23,3936.93,213.47
HTTP Waiting (TTFB) (ms),514.94,428.22,831.69,2574.72,428.30,428.64,429.06,430.31,440.76,443.73,676.51,754.10,816.17,158.49
Input Sequence Length (tokens),512.00,512.00,512.00,2560.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),23.90,22.48,36.30,15177.25,22.59,22.63,22.67,22.81,23.16,24.18,26.30,26.62,31.13,1.70
Inter Token Latency (ms),23.94,22.87,26.38,119.71,22.87,22.88,22.88,22.90,23.60,23.96,25.41,25.89,26.28,1.29
OSL Mismatch Diff % (%),-0.16,-0.78,0.00,-0.78,-0.75,-0.62,-0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.31
Output Sequence Length (tokens),127.80,127.00,128.00,639.00,127.04,127.20,127.40,128.00,128.00,128.00,128.00,128.00,128.00,0.40
Output Token Count (tokens),127.80,127.00,128.00,639.00,127.04,127.20,127.40,128.00,128.00,128.00,128.00,128.00,128.00,0.40
