Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),42.88,0.00,88.89,,,,,,43.91,,44.23,44.32,44.42,2.67
Active Decode Throughput Per User (tokens/sec/user),42.88,0.00,88.89,,,,,,43.91,,44.23,44.32,44.42,2.67
Active Prefill Throughput (tokens/sec),938.82,800.92,967.58,,,,,,964.16,,966.61,967.58,967.58,52.69
Active Prefill Throughput Per User (tokens/sec/user),938.82,800.92,967.58,,,,,,964.16,,966.61,967.58,967.58,52.69
Active Total Throughput (tokens/sec),187.40,38.33,967.58,,,,,,43.93,,961.48,965.64,967.58,330.22
Credit-to-Start Latency (ms),0.34,0.02,0.75,3.40,0.03,0.04,0.06,0.19,0.31,0.45,0.67,0.71,0.74,0.23
Decode Duration (ms),2832.94,1677.54,3312.95,28329.42,1786.47,2222.17,2766.79,2888.88,2892.42,2944.29,3036.52,3174.73,3285.31,404.36
E2E Output Token Throughput (tokens/sec/user),36.25,33.05,37.44,362.50,33.13,33.46,33.87,36.14,36.88,37.33,37.42,37.43,37.44,1.45
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.84,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.37
Effective Decode Throughput (tokens/sec),35.95,0.00,88.89,,,,,,43.80,,44.21,44.30,44.42,15.97
Effective Decode Throughput Per User (tokens/sec/user),35.95,0.00,88.89,,,,,,43.80,,44.21,44.30,44.42,15.97
Effective Latency (CO-aware) (ms),3381.38,2235.91,3873.58,33813.76,2342.40,2768.37,3300.83,3421.02,3445.49,3515.45,3579.44,3726.51,3844.16,403.23
Effective Prefill Concurrency,0.16,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.37
Effective Prefill Throughput (tokens/sec),151.37,0.00,967.58,,,,,,0.00,,961.48,965.64,967.58,345.89
Effective Prefill Throughput Per User (tokens/sec/user),151.37,0.00,967.58,,,,,,0.00,,961.48,965.64,967.58,345.89
Effective Total Throughput (tokens/sec),187.32,0.00,967.58,,,,,,43.93,,961.48,965.64,967.58,330.17
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.20,79.00,132.00,1262.00,83.68,102.40,125.80,131.00,131.00,132.00,132.00,132.00,132.00,15.74
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.48,0.32,1.54,4.83,0.32,0.32,0.32,0.36,0.37,0.38,0.54,1.04,1.44,0.35
HTTP Connection Overhead (ms),0.59,0.32,2.57,5.85,0.32,0.32,0.32,0.36,0.37,0.38,0.64,1.60,2.37,0.66
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),39.92,24.55,41.71,399.23,26.08,32.20,39.85,41.58,41.61,41.67,41.70,41.70,41.70,5.12
HTTP Data Sent (KB),2.34,1.99,2.49,23.41,2.01,2.09,2.19,2.25,2.41,2.45,2.46,2.47,2.48,0.15
HTTP DNS Lookup (ms),0.10,0.00,1.03,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.56,0.93,0.31
HTTP Duration (excl. conn) (ms),3381.00,2235.69,3873.48,33809.95,2342.18,2768.11,3300.52,3420.58,3445.08,3514.82,3578.78,3726.13,3844.01,403.19
HTTP Receiving (ms),2940.23,1807.93,3430.62,29402.32,1914.48,2340.71,2873.49,2992.02,2994.90,3046.63,3142.89,3286.75,3401.84,398.39
HTTP Sending (ms),0.58,0.41,1.68,5.80,0.41,0.41,0.41,0.44,0.46,0.47,0.67,1.18,1.58,0.37
HTTP Total Time (ms),3381.58,2236.02,3873.79,33815.80,2342.51,2768.45,3300.89,3420.96,3445.45,3516.84,3579.19,3726.49,3844.33,403.28
HTTP Waiting (TTFB) (ms),440.18,426.06,533.81,4401.83,426.10,426.25,426.44,426.92,427.59,433.20,451.58,492.70,525.59,31.58
Input Sequence Length (tokens),512.00,512.00,512.00,5120.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),23.28,22.46,34.68,28329.42,22.50,22.56,22.60,22.66,22.75,22.89,25.83,26.15,27.77,1.35
Inter Token Latency (ms),23.27,22.67,26.09,232.71,22.68,22.70,22.73,22.75,22.87,23.18,23.91,25.00,25.87,0.98
OSL Mismatch Diff % (%),-4.22,-41.41,0.00,-42.19,-37.75,-23.12,-4.84,0.00,0.00,0.00,0.00,0.00,0.00,12.40
Output Sequence Length (tokens),122.60,75.00,128.00,1226.00,79.68,98.40,121.80,128.00,128.00,128.00,128.00,128.00,128.00,15.87
Output Token Count (tokens),122.60,75.00,128.00,1226.00,79.68,98.40,121.80,128.00,128.00,128.00,128.00,128.00,128.00,15.87
Output Token Throughput Per User (tokens/sec/user),43.04,38.33,44.11,430.42,38.69,40.10,41.86,43.13,43.74,43.96,43.99,44.05,44.10,1.66
Prefill Throughput Per User (tokens/sec/user),941.78,800.92,967.58,9417.82,811.04,851.55,902.19,951.10,964.21,965.98,966.71,967.15,967.50,49.51
Request Latency (ms),3378.30,2208.53,3873.47,33783.05,2317.46,2753.17,3297.82,3420.61,3445.10,3514.88,3578.83,3726.15,3844.00,410.92
Time to First Output Token (ms),545.36,529.15,639.27,5453.63,529.20,529.39,529.63,530.03,531.01,538.35,568.39,603.83,632.18,32.60
Time to First Token (ms),545.36,529.15,639.27,5453.63,529.20,529.39,529.63,530.03,531.01,538.35,568.39,603.83,632.18,32.60
Time to Second Token (ms),23.16,22.58,26.60,231.60,22.59,22.60,22.63,22.65,22.73,22.96,23.58,25.09,26.30,1.16
Tokens In Flight (tokens),564.30,0.00,640.00,,,,,,562.00,,624.00,632.00,638.00,42.22

Metric,Value
Benchmark Duration (sec),33.82
Input Token Throughput (tokens/sec),151.37
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),36.25
Request Count,10.00
Request Throughput (requests/sec),0.30
Total Input Sequence Length (tokens),5120.00
Total Output Sequence Length (tokens),1226.00
Total Output Tokens (tokens),1226.00
Total Token Throughput (tokens/sec),187.61


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
